Complexity,Loss,Equation
1,1109.1874,"198.75005"
3,805.2464,"x0 * 2.999096"
5,157.1438,"(x0 * 17.116356) + -939.48773"
7,157.14346,"((x0 * 17.113878) + -939.3228) * x2"
