complexity,loss,equation,score,sympy_format,lambda_format
1,6879.797,122.62012,0.0,122.620120000000,PySRFunction(X=>122.620120000000)
4,5696.9307,"mod(133.87856, cube(x1))",0.0628871965229064,"Mod(133.87856, x1**3)","PySRFunction(X=>Mod(133.87856, x1**3))"
5,5383.7383,"mod(x4, 73.73716) + 89.67001",0.05654457194986072,"Mod(1.0*x4, 73.73716) + 89.67001","PySRFunction(X=>Mod(1.0*x4, 73.73716) + 89.67001)"
6,5130.3096,"mod(square(x4), 73.68374) * 2.8282912",0.04821697593858359,"(Mod(1.0*x4**2, 73.68374))*2.8282912","PySRFunction(X=>(Mod(1.0*x4**2, 73.68374))*2.8282912)"
7,5000.9883,"(mod(x4, 73.68373) / 0.5807607) + 66.77549",0.02553045533689381,"(Mod(1.0*x4, 73.68373))/0.5807607 + 66.77549","PySRFunction(X=>(Mod(1.0*x4, 73.68373))/0.5807607 + 66.77549)"
8,4776.573,"(mod(square(x4), 73.68984) / 0.6872178) + 71.60316",0.04591220913367314,"(Mod(1.0*x4**2, 73.68984))/0.6872178 + 71.60316","PySRFunction(X=>(Mod(1.0*x4**2, 73.68984))/0.6872178 + 71.60316)"
9,4313.438,"mod(x4, 73.80411) + (mod(x4, 63.46133) + 62.443626)",0.10198807781567984,"Mod(1.0*x4, 63.46133) + Mod(1.0*x4, 73.80411) + 62.443626","PySRFunction(X=>Mod(1.0*x4, 63.46133) + Mod(1.0*x4, 73.80411) + 62.443626)"
10,3884.4844,"(mod(x4, 73.68373) + mod(square(x4), 73.68372)) / 0.5807607",0.1047450065131791,"(Mod(1.0*x4, 73.68373) + Mod(1.0*x4**2, 73.68372))/0.5807607","PySRFunction(X=>(Mod(1.0*x4, 73.68373) + Mod(1.0*x4**2, 73.68372))/0.5807607)"
12,3422.017,"mod(x4, 73.68995) + ((x3 * 0.39638582) + mod(square(x4), 73.68995))",0.0633800580633434,"x3*0.39638582 + Mod(1.0*x4, 73.68995) + Mod(1.0*x4**2, 73.68995)","PySRFunction(X=>x3*0.39638582 + Mod(1.0*x4, 73.68995) + Mod(1.0*x4**2, 73.68995))"
14,3130.3296,"(mod(x4, 73.68906) + (mod(square(x4), 73.68995) / 0.61712843)) + (x3 * 0.276986)",0.04454592039515225,"x3*0.276986 + Mod(1.0*x4, 73.68906) + (Mod(1.0*x4**2, 73.68995))/0.61712843","PySRFunction(X=>x3*0.276986 + Mod(1.0*x4, 73.68906) + (Mod(1.0*x4**2, 73.68995))/0.61712843)"
