Complexity,Loss,Equation
1,16896.166,"x0"
2,8101.408,"111.91717"
4,7535.603,"x0 + 96.75044"
6,7153.742,"x0 + (x0 + 81.58775)"
7,6925.315,"(x0 * 3.5759249) - -57.681515"
