Complexity,Loss,Equation
1,8101.408,"111.91719"
3,7535.603,"x0 + 96.75354"
5,6927.944,"(x0 + 14.697726) * 3.7181287"
7,6925.316,"(x0 * 3.5759294) + (x1 + 57.682373)"
