complexity,loss,equation,score,sympy_format,lambda_format
1,5923.5386,117.42501,0.0,117.425010000000,PySRFunction(X=>117.425010000000)
3,4088.124,x1 * 6.8278794,0.1854239108433545,x1*6.8278794,PySRFunction(X=>x1*6.8278794)
4,3786.4814,"mod(135.5871, square(x3))",0.07664898775075536,"Mod(135.5871, x3**2)","PySRFunction(X=>Mod(135.5871, x3**2))"
5,3635.2961,"x0 * mod(3.2103672, x3)",0.040746631656915326,"x0*(Mod(3.2103672, x3))","PySRFunction(X=>x0*(Mod(3.2103672, x3)))"
6,3353.0852,"3.2389302 * mod(x0, square(x1))",0.08080968847293794,"3.2389302*(Mod(x0, x1**2))","PySRFunction(X=>3.2389302*(Mod(x0, x1**2)))"
7,3014.9622,"mod(x0, x4 + 1.0016944) * 3.4470785",0.1062935844546626,"(Mod(1.0*x0, x4 + 1.0016944))*3.4470785","PySRFunction(X=>(Mod(1.0*x0, x4 + 1.0016944))*3.4470785)"
9,2593.519,"x0 * mod(mod(x3, -1.8442622), mod(4.3872676, x1))",0.0752858259986572,"x0*(Mod(Mod(1.0*x3, -1.8442622), Mod(4.3872676, x1)))","PySRFunction(X=>x0*(Mod(Mod(1.0*x3, -1.8442622), Mod(4.3872676, x1))))"
10,2586.3074,"mod(mod(mod(x3, -1.8442622), 4.3872676) * x0, square(x3))",0.002784496661720989,"Mod(x0*(Mod(1.0*(Mod(1.0*x3, -1.8442622)), 4.3872676)), x3**2)","PySRFunction(X=>Mod(x0*(Mod(1.0*(Mod(1.0*x3, -1.8442622)), 4.3872676)), x3**2))"
11,2361.4878,"(mod(x3, -1.8442622) + 4.3872676) * mod(x0, x4 + 1.021582)",0.09093929999531666,"(Mod(1.0*x3, -1.8442622) + 4.3872676)*(Mod(1.0*x0, x4 + 1.021582))","PySRFunction(X=>(Mod(1.0*x3, -1.8442622) + 4.3872676)*(Mod(1.0*x0, x4 + 1.021582)))"
12,2072.053,"mod(mod(mod(x3 + 0.90167063, -2.224481), 4.0377693) * x0, square(x3))",0.1307519409120963,"Mod(x0*(Mod(1.0*(Mod(1.0*x3 - 1.32281037, -2.224481)), 4.0377693)), x3**2)","PySRFunction(X=>Mod(x0*(Mod(1.0*(Mod(1.0*x3 - 1.32281037, -2.224481)), 4.0377693)), x3**2))"
13,2002.2133,"mod(x0, 1.211219 + x4) * (mod(x3 + 0.90167063, -2.224481) + 4.0377693)",0.034286684546453554,"(Mod(1.0*x3 - 1.32281037, -2.224481) + 4.0377693)*(Mod(1.0*x0, x4 + 1.211219))","PySRFunction(X=>(Mod(1.0*x3 - 1.32281037, -2.224481) + 4.0377693)*(Mod(1.0*x0, x4 + 1.211219)))"
