complexity,loss,equation,score,sympy_format,lambda_format
1,5953.64,127.6174,0.0,127.617400000000,PySRFunction(X=>127.617400000000)
3,5811.939,151.63939 - x1,0.01204427354260792,151.63939 - x1,PySRFunction(X=>151.63939 - x1)
4,5500.019,"mod(133.71777, square(x0))",0.05516270334854835,"Mod(133.71777, x0**2)","PySRFunction(X=>Mod(133.71777, x0**2))"
5,4444.1685,"mod(x4, 95.03721) + 89.46563",0.2131587594277046,"Mod(1.0*x4, 95.03721) + 89.46563","PySRFunction(X=>Mod(1.0*x4, 95.03721) + 89.46563)"
7,4292.7153,"72.072464 - (mod(x4, 93.52468) * -1.3893521)",0.017336658783764194,"72.072464 - (-1.3893521)*Mod(1.0*x4, 93.52468)","PySRFunction(X=>72.072464 - (-1.3893521)*Mod(1.0*x4, 93.52468))"
8,4290.8945,"abs(72.17095 - (mod(x4, 93.52468) * -1.4039614))",0.0004242504190509,"-1*Mod(1.0*x4, 93.52468)*(-1.4039614) + 72.17095","PySRFunction(X=>-1*Mod(1.0*x4, 93.52468)*(-1.4039614) + 72.17095)"
9,4002.104,"(mod(x4, 33.04783) + mod(x4, 94.99675)) - -76.94079",0.06967499653324698,"Mod(1.0*x4, 33.04783) + Mod(1.0*x4, 94.99675) - 1*(-76.94079)","PySRFunction(X=>Mod(1.0*x4, 33.04783) + Mod(1.0*x4, 94.99675) - 1*(-76.94079))"
10,4002.1038,"abs(mod(x4, 33.04783) + (mod(x4, 94.99675) - -76.94079))",4.99737150824369e-08,"Mod(1.0*x4, 33.04783) + Mod(1.0*x4, 94.99675) + 76.94079","PySRFunction(X=>Mod(1.0*x4, 33.04783) + Mod(1.0*x4, 94.99675) + 76.94079)"
11,3797.8906,"(mod(x4, 33.19238) + (mod(x4, 93.247826) + 18.33871)) * 1.7879208",0.05237436551545206,"(Mod(1.0*x4, 33.19238) + Mod(1.0*x4, 93.247826) + 18.33871)*1.7879208","PySRFunction(X=>(Mod(1.0*x4, 33.19238) + Mod(1.0*x4, 93.247826) + 18.33871)*1.7879208)"
13,3584.8584,"((mod(x4, 33.05077) * 2.6662543) + 45.08881) - (mod(x4, 95.037285) * -1.2801012)",0.028863415988821892,"(Mod(1.0*x4, 33.05077))*2.6662543 - (-1.2801012)*Mod(1.0*x4, 95.037285) + 45.08881","PySRFunction(X=>(Mod(1.0*x4, 33.05077))*2.6662543 - (-1.2801012)*Mod(1.0*x4, 95.037285) + 45.08881)"
