complexity,loss,equation,score,sympy_format,lambda_format
1,5406.862,96.91902,0.0,96.9190200000000,PySRFunction(X=>96.9190200000000)
3,5209.271,x1 + 76.870384,0.018614482426376616,x1 + 76.870384,PySRFunction(X=>x1 + 76.870384)
4,3712.8037,"mod(square(x4), 188.8878)",0.3386526172537402,"Mod(1.0*x4**2, 188.8878)","PySRFunction(X=>Mod(1.0*x4**2, 188.8878))"
6,2999.8367,"mod(square(x4), 141.44295) + 35.32407",0.10661472582178547,"Mod(1.0*x4**2, 141.44295) + 35.32407","PySRFunction(X=>Mod(1.0*x4**2, 141.44295) + 35.32407)"
8,2903.8823,"mod(square(x4), 141.44295) + mod(x4, 62.294445)",0.01625464400754209,"Mod(1.0*x4, 62.294445) + Mod(1.0*x4**2, 141.44295)","PySRFunction(X=>Mod(1.0*x4, 62.294445) + Mod(1.0*x4**2, 141.44295))"
9,2456.0354,"mod(square(x1), 63.05317) + mod(square(x4), 141.44293)",0.16750014197634278,"Mod(1.0*x1**2, 63.05317) + Mod(1.0*x4**2, 141.44293)","PySRFunction(X=>Mod(1.0*x1**2, 63.05317) + Mod(1.0*x4**2, 141.44293))"
11,2324.329,"(mod(square(x1), 63.05317) * 1.4735924) + mod(square(x4), 141.44293)",0.02755851431331738,"(Mod(1.0*x1**2, 63.05317))*1.4735924 + Mod(1.0*x4**2, 141.44293)","PySRFunction(X=>(Mod(1.0*x1**2, 63.05317))*1.4735924 + Mod(1.0*x4**2, 141.44293))"
12,2301.0356,"mod(square(x4), 141.44295) + (mod(x1, x2) * mod(x3, 64.25939))",0.01007211276750551,"(Mod(x1, x2))*(Mod(1.0*x3, 64.25939)) + Mod(1.0*x4**2, 141.44295)","PySRFunction(X=>(Mod(x1, x2))*(Mod(1.0*x3, 64.25939)) + Mod(1.0*x4**2, 141.44295))"
13,1326.9104,"(mod(x1, x2) * mod(cube(x4), 63.052895)) + mod(square(x4), 141.44371)",0.550506050120654,"(Mod(x1, x2))*(Mod(1.0*x4**3, 63.052895)) + Mod(1.0*x4**2, 141.44371)","PySRFunction(X=>(Mod(x1, x2))*(Mod(1.0*x4**3, 63.052895)) + Mod(1.0*x4**2, 141.44371))"
15,1283.4824,"((mod(x1, x2) * mod(cube(x4), 63.052895)) + mod(square(x4), 141.44371)) * 1.0678457",0.016638111808418028,"((Mod(x1, x2))*(Mod(1.0*x4**3, 63.052895)) + Mod(1.0*x4**2, 141.44371))*1.0678457","PySRFunction(X=>((Mod(x1, x2))*(Mod(1.0*x4**3, 63.052895)) + Mod(1.0*x4**2, 141.44371))*1.0678457)"
