Complexity,Loss,Equation
1,18491.25,"x0"
2,1109.1874,"198.75099"
4,805.2462,"x0 * 2.9990928"
5,562.3863,"square(x0 * 0.21249667)"
7,157.14325,"(x0 * 17.11676) - 939.5146"
